,Category,Category FR,Cluster,Cluster FR,Count,Link,Original,Product,Source,Weight,Total
32,Umbrella,Umbrella,south france summer printable art printable wall art france print village door digital print french riviera minimal photography,south france summer printable art printable wall art france print village door digital print french riviera minimal photography,0.004784688995215311,https://i.etsystatic.com/22041967/d/il/3440fb/2151141618/il_340x270.2151141618_1kne.jpg?version=0,South France Summer Printable Art Printable Wall Art France Print Village Door Digital Print French Riviera Minimal Photography,south france summer printable art printable wall art france print village door digital print french riviera minimal photography,etsy,1,209.0
33,Umbrella,Umbrella,two character disney world embroidered stroller tag,two character disney world embroidered stroller tag,0.004784688995215311,https://i.etsystatic.com/9213654/d/il/5694b2/1947012370/il_340x270.1947012370_3wxu.jpg?version=0,Two Character Disney World Embroidered Stroller Tag,two character disney world embroidered stroller tag,etsy,1,209.0
59,Travel Accessories,Travel Accessories,fly fishing quick knot tool,fly fishing quick knot tool,0.0900562851782364,https://www.cloudways.com/blog/wp-content/uploads/Fishing-Quick-Knot-Tool.jpg,Fly Fishing Quick Knot Tool,fishing,Trendy,1,2665.0
61,Travel Accessories,Travel Accessories,hooded raincoat,hooded raincoat,0.0900562851782364,https://www.cloudways.com/blog/wp-content/uploads/image6-152-298x300.png,Hooded Raincoats,hooded raincoat,Trendy,1,2665.0
63,Travel Accessories,Travel Accessories,luggage suitcase,luggage suitcase,0.0900562851782364,https://alidropship.com/wp-content/uploads/2020/01/dropship-luggage-suitcase-min-768x476.jpg,Luggage Suitcase,luggage,Trendy,1,2665.0
66,Travel Accessories,Travel Accessories,trail shoe,trail shoe,0.0900562851782364,https://108658-309052-raikfcquaxqncofqfm.stackpathdns.com//wp-content/uploads/2019/07/Hiking-shoes.jpeg,Trail Shoes,trail shoe,Trendy,1,2665.0
69,Travel Accessories,Travel Accessories,pocket language translator,pocket language translator,0.0900562851782364,https://www.cloudways.com/blog/wp-content/uploads/pocket-language-translator.png,Pocket Language Translators,pocket language translator,Trendy,1,2665.0
39,Travel Accessories,Travel Accessories,accessory organizer set case,accessory organizer set case,0.052157598499061916,https://s.alicdn.com/@sc01/kf/H129029aae0804a3b9775a58473f294edP.jpg_300x300.jpg,Accessory Organizer Set Case,organizer,alibaba,1,2665.0
34,Travel Accessories,Travel Accessories,travel accessor bottle passport,travel accessor bottle passport,0.048405253283302065,https://s.alicdn.com/@sc01/kf/HTB1Ga8Xbu3tHKVjSZSgq6x4QFXao.jpg_300x300.jpg,Travel Accessor Bottle Passport,accessor travel,alibaba,1,2665.0
41,Travel Accessories,Travel Accessories,anti theft travelon bag,anti theft travelon bag,0.04652908067542214,https://m.media-amazon.com/images/I/91ZCGXBh0LL._AC_UL320_ML3_.jpg,Anti Theft Travelon Bag,theft anti,amazon,1,2665.0
60,Travel Accessories,Travel Accessories,minimalist wallet,minimalist wallet,0.0450281425891182,https://www.cloudways.com/blog/wp-content/uploads/image9-105-300x300.png,Minimalist Wallets,minimalist wallet,Trendy,1,2665.0
62,Travel Accessories,Travel Accessories,backpack,backpack,0.0450281425891182,//cdn.shopify.com/s/files/1/0070/7032/files/trending-products-backpacks.jpg?v=1582322150,Backpacks,backpack,Trendy,1,2665.0
64,Travel Accessories,Travel Accessories,foldable travel iron,foldable travel iron,0.0450281425891182,https://img.oberlo.com/?url=https://ae01.alicdn.com/kf/HTB1UFYBaQT2gK0jSZPcq6AKkpXaM/Folding-Portable-Iron-Compact-Touchup-and-Perfect-Foldable-Travel-Iron-Fordable-Mini-Iron-for-Collar-Dropshipping.jpg,Foldable Travel Iron,foldable travel iron,Trendy,1,2665.0
65,Travel Accessories,Travel Accessories,passport holder,passport holder,0.0450281425891182,https://108658-309052-raikfcquaxqncofqfm.stackpathdns.com//wp-content/uploads/2019/07/passport-holder.jpg,Passport Holder,passport holder,Trendy,1,2665.0
67,Travel Accessories,Travel Accessories,key case,key case,0.0450281425891182,https://alidropship.com/wp-content/uploads/2019/09/28-key-case.png,Key Case,key case,Trendy,1,2665.0
68,Travel Accessories,Travel Accessories,fingerprint lock,fingerprint lock,0.0450281425891182,https://alidropship.com/wp-content/uploads/2019/09/44-fingerprint-lock.png,Fingerprint Lock,fingerprint lock,Trendy,1,2665.0
70,Travel Accessories,Travel Accessories,waterproof shoe cover,waterproof shoe cover,0.0450281425891182,https://www.cloudways.com/blog/wp-content/uploads/image3-212-300x287.png,Waterproof Shoe Cover,waterproof shoe cover,Trendy,1,2665.0
71,Travel Accessories,Travel Accessories,alarm keychain,alarm keychain,0.0450281425891182,https://alidropship.com/wp-content/uploads/2019/09/48-self-defense-alarm.png,Alarm Keychain,alarm keychain,Trendy,1,2665.0
35,Travel Accessories,Travel Accessories,luggage travel tag set,luggage travel tag set,0.010881801125703566,https://s.alicdn.com/@sc01/kf/HTB1ecdZXoY1gK0jSZFCq6AwqXXai.jpg_300x300.jpg,Luggage Travel Tag Set,luggage travel tag set,alibaba,1,2665.0
36,Travel Accessories,Travel Accessories,mask sleeping masque mouth,mask sleeping masque mouth,0.00450281425891182,https://i.etsystatic.com/11966420/d/il/80f8ed/2271862713/il_340x270.2271862713_jmcg.jpg?version=0,Mask Sleeping Masque Mouth,mask sleeping masque mouth,etsy,1,2665.0
37,Travel Accessories,Travel Accessories,women scarf,women scarf,0.00450281425891182,https://i5.walmartimages.com/asr/a4a73e48-129a-465d-aa68-0a80842c341f_1.720466c59c64cdec5add76e425395296.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Women Scarf,women scarf,walmart,1,2665.0
38,Travel Accessories,Travel Accessories,waterproof pouch soap bag,waterproof pouch soap bag,0.00375234521575985,https://i5.walmartimages.com/asr/f813de0e-68ea-4b47-affd-66c2c5086429_1.706987d26b92046452d2f08b203ef795.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Waterproof Pouch Soap Bag,waterproof pouch soap bag,walmart,1,2665.0
40,Travel Accessories,Travel Accessories,bag laundry shopping,bag laundry shopping,0.00300187617260788,https://m.media-amazon.com/images/I/61Q47BQVYXL._AC_UL320_ML3_.jpg,Bag Laundry Shopping,bag laundry shopping,amazon,1,2665.0
47,Travel Accessories,Travel Accessories,earplug,earplug,0.00225140712945591,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw6a6dbcc8/product/11972015_01_001_01.jpg?sw=245&sh=279&sm=fit,Earplug,earplug,hema,1,2665.0
50,Travel Accessories,Travel Accessories,2 pack wrist band prevent motion sickne,2 pack wrist band prevent motion sickne,0.00225140712945591,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwc89566e0/product/18600140_01_001_01.jpg?sw=245&sh=279&sm=fit,2 Pack Wrist Band Prevent Motion Sicknes,2 pack wrist band prevent motion sickne,hema,1,2665.0
42,Travel Accessories,Travel Accessories,children,children,0.00150093808630394,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw53a01815/product/16735121_01_001_01.jpg?sw=245&sh=279&sm=fit,Children,children,hema,1,2665.0
49,Travel Accessories,Travel Accessories,shopper,shopper,0.00150093808630394,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwb0ef2a4f/product/18690172_01_001_01.jpg?sw=245&sh=279&sm=fit,Shopper,shopper,hema,1,2665.0
43,Travel Accessories,Travel Accessories,ip igo travel container jar bundle pack 12 count 51222552,ip igo travel container jar bundle pack 12 count 51222552,0.001125703564727955,https://i5.walmartimages.com/asr/95fe8f65-503b-4b18-85dd-bbff7d4558a4_1.1a328653ee4c5aab99eb25704579415d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Igo Travel Container Jar Bundle Pack 12 Count 51222552,ip igo travel container jar bundle pack 12 count 51222552,walmart,1,2665.0
44,Travel Accessories,Travel Accessories,case small travel storage,case small travel storage,0.001125703564727955,https://m.media-amazon.com/images/I/61UY9sx+TlL._AC_UL320_ML3_.jpg,Case Small Travel Storage,case small travel storage,amazon,1,2665.0
45,Travel Accessories,Travel Accessories,neck badge key tower,neck badge key tower,0.001125703564727955,https://i.etsystatic.com/17040753/d/il/aa6b28/2252473141/il_340x270.2252473141_h5ep.jpg?version=0,Neck Badge Key Tower,neck badge key tower,etsy,1,2665.0
46,Travel Accessories,Travel Accessories,lightroom mobile preset,lightroom mobile preset,0.00075046904315197,https://i.etsystatic.com/21419402/d/il/50832f/2212995259/il_340x270.2212995259_bpia.jpg?version=0,Lightroom Mobile Preset,lightroom mobile preset,etsy,1,2665.0
48,Travel Accessories,Travel Accessories,folding mirror black,folding mirror black,0.00075046904315197,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw68792ea4/product/11821034_01_001_01.jpg?sw=245&sh=279&sm=fit,Folding Mirror Black,folding mirror black,hema,1,2665.0
56,Travel Accessories,Travel Accessories,airplane seat cover basic black smarter safer relaxed travel experience,airplane seat cover basic black smarter safer relaxed travel experience,0.00075046904315197,https://i.etsystatic.com/6120054/c/2048/1627/0/420/il/b0e5ea/2274748999/il_340x270.2274748999_fmth.jpg,Airplane Seat Cover Basic Black Smarter Safer Relaxed Travel Experience,airplane seat cover basic black smarter safer relaxed travel experience,etsy,1,2665.0
51,Travel Accessories,Travel Accessories,flight flap phone tablet holder designed air travel flying traveling flight stand compatible iphone compatible android compatible kindle mobile device original,flight flap phone tablet holder designed air travel flying traveling flight stand compatible iphone compatible android compatible kindle mobile device original,0.000375234521575985,https://m.media-amazon.com/images/I/81Dys85gywL._AC_UL320_ML3_.jpg,Flight Flap Phone Tablet Holder Designed Air Travel Flying Traveling Flight Stand Compatible Iphone Compatible Android Compatible Kindle Mobile Device Original,flight flap phone tablet holder designed air travel flying traveling flight stand compatible iphone compatible android compatible kindle mobile device original,amazon,1,2665.0
52,Travel Accessories,Travel Accessories,colgate max fresh wisp disposable mini travel toothbrushe peppermint 24 count,colgate max fresh wisp disposable mini travel toothbrushe peppermint 24 count,0.000375234521575985,https://m.media-amazon.com/images/I/81CGVY6HAtL._AC_UL320_ML3_.jpg,Colgate Max Fresh Wisp Disposable Mini Travel Toothbrushe Peppermint 24 Count,colgate max fresh wisp disposable mini travel toothbrushe peppermint 24 count,amazon,1,2665.0
53,Travel Accessories,Travel Accessories,nomadic changing mat travel changing mat double cotton gauze golden pea,nomadic changing mat travel changing mat double cotton gauze golden pea,0.000375234521575985,https://i.etsystatic.com/15484456/c/2833/2250/83/0/il/f737d9/1753323291/il_340x270.1753323291_1yxe.jpg,Nomadic Changing Mat Travel Changing Mat Double Cotton Gauze Golden Pea,nomadic changing mat travel changing mat double cotton gauze golden pea,etsy,1,2665.0
54,Travel Accessories,Travel Accessories,kraftkid wrapping pad muslin grey pu flower,kraftkid wrapping pad muslin grey pu flower,0.000375234521575985,https://i.etsystatic.com/11773630/d/il/30baa0/2120993164/il_340x270.2120993164_9hth.jpg?version=0,Kraftkid Wrapping Pad Muslin Grey Pus Flower,kraftkid wrapping pad muslin grey pu flower,etsy,1,2665.0
55,Travel Accessories,Travel Accessories,arm warmer set modest wear gift arm cover woman modest clothing fashion sleeve extender abaya gift,arm warmer set modest wear gift arm cover woman modest clothing fashion sleeve extender abaya gift,0.000375234521575985,https://i.etsystatic.com/18687437/d/il/8bfdea/2271065695/il_340x270.2271065695_qgup.jpg?version=0,Arm Warmer Set Modest Wear Gift Arm Cover Woman Modest Clothing Fashion Sleeve Extender Abaya Gift,arm warmer set modest wear gift arm cover woman modest clothing fashion sleeve extender abaya gift,etsy,1,2665.0
57,Travel Accessories,Travel Accessories,a5 travel book original father day gift consisting 108 page craft paper 120g beautiful adventure notebook,a5 travel book original father day gift consisting 108 page craft paper 120g beautiful adventure notebook,0.000375234521575985,https://i.etsystatic.com/10731859/c/1371/1087/439/179/il/c49da3/1914946471/il_340x270.1914946471_6gry.jpg,A5 Travel Book Original Father Day Gift Consisting 108 Page Craft Paper 120G Beautiful Adventure Notebook,a5 travel book original father day gift consisting 108 page craft paper 120g beautiful adventure notebook,etsy,1,2665.0
58,Travel Accessories,Travel Accessories,pouche,pouche,0.000375234521575985,https://i.etsystatic.com/17593364/d/il/1bdf89/2214863480/il_340x270.2214863480_qlxo.jpg?version=0,Pouche,pouche,etsy,1,2665.0
101,Tobacco Accessories,Tobacco Accessories,vape e cigarette,vape e cigarette,0.30927835051546393,https://www.ecommerceceo.com/wp-content/uploads/2016/03/Vape-1.jpg,Vape / E-Cigarettes,vape e cigarette,Trendy,1,388.0
72,Tobacco Accessories,Tobacco Accessories,tobacco accessor smoking pipe,tobacco accessor smoking pipe,0.29896907216494845,https://s.alicdn.com/@sc01/kf/HTB1gXfUVY2pK1RjSZFsq6yNlXXar.jpg_300x300.jpg,Tobacco Accessor Smoking Pipe,tobacco accessor smoking pipe,alibaba,1,388.0
73,Tobacco Accessories,Tobacco Accessories,tobacco leather pouch joke,tobacco leather pouch joke,0.11082474226804123,https://s.alicdn.com/@sc01/kf/HLB1vh2PRQvoK1RjSZFDq6xY3pXaY.jpg_300x300.jpg,Tobacco Leather Pouch Joke,tobacco leather pouch joke,alibaba,1,388.0
74,Tobacco Accessories,Tobacco Accessories,box stash tray rolling,box stash tray rolling,0.03608247422680412,https://m.media-amazon.com/images/I/61LckpzTE6L._AC_UL320_ML3_.jpg,Box Stash Tray Rolling,box stash tray rolling,amazon,1,388.0
76,Tobacco Accessories,Tobacco Accessories,cake candle,cake candle,0.020618556701030927,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw89d912ec/product/14210143_01_001_02.jpg?sw=245&sh=279&sm=fit,Cake Candle,candle,hema,1,388.0
78,Tobacco Accessories,Tobacco Accessories,high lid cm gla,high lid cm gla,0.020618556701030927,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw358a44b8/product/25810047_01_001_01.jpg?sw=245&sh=279&sm=fit,High Lid Cm Glas,high lid cm gla,hema,1,388.0
75,Tobacco Accessories,Tobacco Accessories,stainle steel tool hook,stainle steel tool hook,0.01804123711340206,https://m.media-amazon.com/images/I/81OYGWEmkJL._AC_UL320_ML3_.jpg,Stainles Steel Tool Hook,stainle steel tool hook,amazon,1,388.0
77,Tobacco Accessories,Tobacco Accessories,elastic pack 10 hair,elastic pack 10 hair,0.015463917525773196,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwfc9dc185/product/11870023_01_001_01.jpg?sw=245&sh=279&sm=fit,Elastic Pack 10 Hair,elastic pack 10 hair,hema,1,388.0
79,Tobacco Accessories,Tobacco Accessories,cable micro usb charger,cable micro usb charger,0.010309278350515464,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwd096df24/product/39630063_01_001_01.jpg?sw=245&sh=279&sm=fit,Cable Micro Usb Charger,cable micro usb charger,hema,1,388.0
80,Tobacco Accessories,Tobacco Accessories,baking bunny,baking bunny,0.010309278350515464,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw46efe55a/product/10970067_01_001_01.jpg?sw=245&sh=279&sm=fit,Baking Bunny,baking bunny,hema,1,388.0
81,Tobacco Accessories,Tobacco Accessories,photo,photo,0.010309278350515464,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw2bf7069a/product/13691006_01_001_01.jpg?sw=245&sh=279&sm=fit,Photo,photo,hema,1,388.0
82,Tobacco Accessories,Tobacco Accessories,bathroom,bathroom,0.010309278350515464,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw95ca616f/product/80300070_01_001_01.jpg?sw=245&sh=279&sm=fit,Bathroom,bathroom,hema,1,388.0
89,Tobacco Accessories,Tobacco Accessories,8 egg fill,8 egg fill,0.010309278350515464,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw358a44b8/product/25810047_01_001_01.jpg?sw=245&sh=279&sm=fit,8 Egg Fill,8 egg fill,hema,1,388.0
90,Tobacco Accessories,Tobacco Accessories,toothbrush holder,toothbrush holder,0.010309278350515464,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwbf7edd8d/product/11870130_01_001_01.jpg?sw=245&sh=279&sm=fit,Toothbrush Holder,toothbrush holder,hema,1,388.0
